Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public
Logan WV,US,Air Evac Lifeteam,"Logan, WV","Logan, WV",Logan,WV,,,37.80246,-81.92848,,,EMS,Rotor,,,
Blue Ridge Airport,US,"Air Methods, Metro Aviation",KMTV,"Martinsville, VA",Martinsville,VA,,,36.63111,-80.01792,,,EMS,Rotor,,,
General Mitchell International Airport,US,Air Wisconsin,KMKE,"Milwaukee, WI",Milwaukee,WI,,,42.94720,-87.89660,,,Regional,Fixed-Wing,,,
James M Cox Dayton International Airport,US,"Air Wisconsin, PSA",KDAY,"Dayton, OH",Dayton,OH,,,39.90240,-84.21940,,,Regional,Fixed-Wing,,,
Los Angeles International Airport,US,"Alaska, American, Delta, United, Allegiant, JetBlue, Southwest, SkyWest, Atlas, FedEx",KLAX,"Los Angeles, CA",Los Angeles,CA,,,33.94250,-118.40800,,,"Legacy, Major, Regional, Cargo",Fixed-Wing,,,
Ted Stevens Anchorage International Airport,US,"Alaska, Atlas, Empire, Everts, FedEx, Northern, UPS",PANC,"Anchorage, AK",Anchorage,AK,,,61.17440,-149.99600,,,"Legacy, Cargo",Fixed-Wing,,,
Seattle Tacoma International Airport,US,"Alaska, Delta, Horizon, SkyWest, Empire",KSEA,"Seattle, WA",Seattle,WA,,,47.44900,-122.30900,,,"Legacy, Regional, Cargo",Fixed-Wing,,,
Portland International Airport,US,"Alaska, Horizon, SkyWest, Ameriflight, Empire, Med-Trans",KPDX,"Portland, OR",Portland,OR,,,45.58870,-122.59800,,,"Legacy, Regional, Cargo, EMS",Fixed-Wing,,,
San Francisco International Airport,US,"Alaska, United, SkyWest",KSFO,"San Francisco, CA",San Francisco,CA,,,37.61900,-122.37500,,,"Legacy, Regional",Fixed-Wing,,,
Lehigh Valley International Airport,US,Allegiant,KABE,"Hanover, PA",Hanover,PA,,,40.65177,-75.44280,,,Major,Fixed-Wing,,,
Appleton Airport,US,Allegiant,KATW,"Greenville, WI",Greenville,WI,,,44.25810,-88.51910,,,Major,Fixed-Wing,,,
Austin Bergstrom International Airport,US,Allegiant,KAUS,"Austin, TX",Austin,TX,,,30.19754,-97.66202,,,Major,Fixed-Wing,,,
Asheville Regional Airport,US,Allegiant,KAVL,"Asheville, NC",Asheville,NC,,,35.43620,-82.54180,,,Major,Fixed-Wing,,,
Bellingham International Airport,US,Allegiant,KBLI,"Marietta-Alderwood, WA",Marietta-Alderwood,WA,,,48.79280,-122.53800,,,Major,Fixed-Wing,,,
Nashville International Airport,US,Allegiant,KBNA,"Nashville, TN",Nashville,TN,,,36.12450,-86.67820,,,Major,Fixed-Wing,,,
Des Moines International Airport,US,Allegiant,KDSM,"Des Moines, IA",Des Moines,IA,,,41.53400,-93.66310,,,Major,Fixed-Wing,,,
Bishop International Airport,US,Allegiant,KFNT,"Mundy, MI",Mundy,MI,,,42.96540,-83.74360,,,Major,Fixed-Wing,,,
Gerald R. Ford International Airport,US,Allegiant,KGRR,"Cascade, MI",Cascade,MI,,,42.88080,-85.52280,,,Major,Fixed-Wing,,,
Charlotte County Airport,US,Allegiant,KPGD,"Charlotte County, FL",Charlotte County,FL,,,26.92020,-81.99050,,,Major,Fixed-Wing,,,
St Petersburg Clearwater International Airport,US,Allegiant,KPIE,"St. Petersburg, FL",St. Petersburg,FL,,,27.91020,-82.68740,,,Major,Fixed-Wing,,,
Savannah Hilton Head International Airport,US,Allegiant,KSAV,"Savannah, GA",Savannah,GA,,,32.12760,-81.20210,,,Major,Fixed-Wing,,,
Orlando Sanford International Airport,US,Allegiant,KSFB,"Orlando, FL",Orlando,FL,,,28.77760,-81.23750,,,Major,Fixed-Wing,,,
McGhee Tyson Airport,US,Allegiant,KTYS,"Alcoa, TN",Alcoa,TN,,,35.81100,-83.99400,,,Major,Fixed-Wing,,,
Destin-Fort Walton Beach Airport,US,Allegiant,KVPS,"Valparaiso, FL",Valparaiso,FL,,,30.48320,-86.52540,,,Major,Fixed-Wing,,,
Cincinnati Northern Kentucky International Airport,US,"Allegiant, Endeavor, Mesa, ABX, Ameriflight, Atlas",KCVG,"Stringtown, OH",Stringtown,OH,,,39.04880,-84.66780,,,"Major, Regional, Cargo",Fixed-Wing,,,
McCarran International Airport,US,"Allegiant, Frontier, Southwest, Spirit",KLAS,"Las Vegas, NV",Las Vegas,NV,,,36.08010,-115.15200,,,Major,Fixed-Wing,,,
Fort Lauderdale Hollywood International Airport,US,"Allegiant, JetBlue, Spirit, Silver",KFLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,,,26.07260,-80.15270,,,"Major, Regional",Fixed-Wing,,,
Phoenix-Mesa Gateway Airport,US,"Allegiant, Med-Trans",KIWA,"Mesa, AZ",Mesa,AZ,,,33.30780,-111.65500,,,"Major, EMS",Fixed-Wing,,,
Pittsburgh International Airport,US,"Allegiant, Republic",KPIT,"Pittsburgh, PA",Pittsburgh,PA,,,40.49150,-80.23290,,,"Major, Regional ",Fixed-Wing,,,
Indianapolis International Airport,US,"Allegiant, Republic, FedEx",KIND,"Indianapolis, IN",Indianapolis,IN,,,39.71730,-86.29440,,,"Major, Regional, Cargo",Fixed-Wing,,,
La Guardia Airport,US,"American, Delta, Endeavor, Republic",KLGA,"New York City, NY",New York City,NY,,,40.77720,-73.87260,,,"Legacy, Regional",Fixed-Wing,,,
Miami International Airport,US,"American, Frontier, Envoy, Atlas, Northern, UPS",KMIA,"Alameda, FL",Alameda,FL,,,25.79320,-80.29060,,,"Legacy, Major, Regional, Cargo",Fixed-Wing,,,
Philadelphia International Airport,US,"American, Frontier, Piedmont, PSA, Republic",KPHL,"Philadelphia, PA",Philadelphia,PA,,,39.87190,-75.24110,,,"Legacy, Major, Regional",Fixed-Wing,,,
Logan International Airport,US,"American, JetBlue, Republic",KBOS,"Boston, MA",Boston,MA,,,42.36430,-71.00520,,,"Legacy, Major, Regional",Fixed-Wing,,,
Charlotte Douglas International Airport,US,"American, Piedmont, PSA",KCLT,"Charlotte, NC",Charlotte,NC,,,35.21400,-80.94310,,,"Legacy, Regional",Fixed-Wing,,,
Ronald Reagan Washington National Airport,US,"American, Republic",KDCA,"Arlington, VA",Arlington,VA,,,38.85210,-77.03770,,,"Legacy, Regional",Fixed-Wing,,,
Phoenix Sky Harbor International Airport,US,"American, Southwest, Mesa, SkyWest, Ameriflight, Empire",KPHX,"Phoenix, AZ",Phoenix,AZ,,,33.43530,-112.00591,,,"Legacy, Major, Regional, Cargo",Fixed-Wing,,,
Dallas Fort Worth International Airport,US,"American, Spirit, Envoy, Mesa, SkyWest, Ameriflight",KDFW,"Grapevine, TX",Grapevine,TX,,,32.89680,-97.03800,,,"Legacy, Major, Regional, Cargo",Fixed-Wing,,,
Chicago O'Hare International Airport,US,"American, United, Frontier, Spirit, Air Wisconsin, Envoy, GoJet, Republic, SkyWest, Atlas",KORD,"Chicago, IL",Chicago,IL,,,41.97860,-87.90480,,,"Legacy, Major, Regional, Cargo",Fixed-Wing,,,
Boeing Field King County International Airport,US,Ameriflight,KBFI,"Tukwila, WA",Tukwila,WA,,,47.53000,-122.30200,,,Cargo,Fixed-Wing,,,
Buffalo Niagara International Airport,US,Ameriflight,KBUF,"Cheektowaga Town, NY",Cheektowaga Town,NY,,,42.94050,-78.73220,,,Cargo,Fixed-Wing,,,
Lansing Capital City Airport,US,Ameriflight,KLAN,"Lansing, MI",Lansing,MI,,,42.77870,-84.58740,,,Cargo,Fixed-Wing,,,
Manchester-Boston Regional Airport,US,Ameriflight,KMHT,"Londonderry, NH",Londonderry,NH,,,42.93260,-71.43570,,,Cargo,Fixed-Wing,,,
Eppley Airfield,US,Ameriflight,KOMA,"Omaha, NE",Omaha,NE,,,41.30320,-95.89410,,,Cargo,Fixed-Wing,,,
San Antonio International Airport,US,Ameriflight,KSAT,"San Antonio, TX",San Antonio,TX,,,29.53370,-98.46980,,,Cargo,Fixed-Wing,,,
Spirit of St. Louis Airport,US,Ameriflight,KSUS,"Chesterfield, MO",Chesterfield,MO,,,38.66210,-90.65200,,,Cargo,Fixed-Wing,,,
Rafael Hernandez Airport (KBQN),US,Ameriflight,TJBQ,"Aguadilla, PR",Aquadilla,PR,,,18.49490,-67.12940,,,Cargo,Fixed-Wing,,,
Ontario International Airport,US,"Ameriflight, Atlas, UPS",KONT,"Ontario, CA",Ontario,CA,,,34.05600,-117.60100,,,Cargo,Fixed-Wing,,,
Bob Hope Airport,US,"Ameriflight, Avelo",KBUR,"Burbank, CA",Burbank,CA,,,34.19770,-118.35638,,,"Cargo, Major",Fixed-Wing,,,
Albuquerque International Sunport,US,"Ameriflight, Empire, Sevenbar",KABQ,"Albuquerque, NM",Albuquerque,NM,,,35.04020,-106.60900,,,"Cargo, EMS","Fixed-Wing, Rotor",,,
Memphis International Airport,US,"Atlas, FedEx",KMEM,"Memphis, TN",Memphis,TN,,,35.04240,-89.97670,,,Cargo,Fixed-Wing,,,
Tweed New Haven Airport,US,Avelo,KHVN,"Thompson Avenue, East Haven, New Haven County, Connecticut, 06512, United States of America",,CT,,,41.26370,-72.88680,,,Major,Fixed-Wing,,,
Louis Armstrong New Orleans International Airport,US,Breeze,KMSY,"New Orleans, LA",New Orleans,LA,,,29.99340,-90.25800,,,Major,Fixed-Wing,,,
Norfolk International Airport,US,Breeze,KORF,"Norfolk, VA",Norfolk,VA,,,36.89460,-76.20120,,,Major,Fixed-Wing,,,
Charleston International Airport,US,"Breeze (Major), Med-Trans (EMS-R)",KCHS,"Charleston, SC",Charleston,SC,,,32.89860,-80.04050,,,"Major, EMS","Fixed-Wing, Rotor",,,
Tampa International Airport,US,"Breeze, Silver, Atlas",KTPA,"Tampa, FL",Tampa,FL,,,27.97550,-82.53320,,,"Major, Regional, Cargo",Fixed-Wing,,,
Hartsfield Jackson Atlanta International Airport,US,"Delta, Frontier, Southwest, Endeavor",KATL,"Atlanta, GA",Atlanta,GA,,,33.63670,-84.42810,,,"Legacy, Major, Regional",Fixed-Wing,,,
Salt Lake City International Airport,US,"Delta, SkyWest, Ameriflight",KSLC,"Salt Lake City, UT",Salt Lake City,UT,,,40.78575,-111.97975,,,"Legacy, Regional, Cargo",Fixed-Wing,,,
Detroit Metropolitan Wayne County Airport,US,"Delta, Spirit, Endeavor, SkyWest",KDTW,"Romulus, MI",Romulus,MI,,,42.21240,-83.35340,,,"Legacy, Major, Regional",Fixed-Wing,,,
Minneapolis-Saint Paul International Airport / Wold-Chamberlain Field,US,"Delta, Sun Country, Endeavor, SkyWest",KMSP,"Minneapolis-St Paul, MN",Minneapolis-St Paul  ,MN,,,44.88200,-93.22180,,,"Legacy, Major, Regional ",Fixed-Wing,,,
Glacier Park International Airport,US,Empire,KGPI,"LaSalle, MT",LaSalle,MT,,,48.31050,-114.25600,,,Cargo,Fixed-Wing,,,
Idaho Falls Regional Airport,US,Empire,KIDA,"Idaho Falls, ID",Idaho Falls,ID,,,43.51460,-112.07100,,,Cargo,Fixed-Wing,,,
Midland International Airport,US,Empire,KMAF,"Midland, TX",Midland,TX,,,31.94250,-102.20200,,,Cargo,Fixed-Wing,,,
